temperature_C,pressure_mb,description
29,1006,1
30,1006,1
28,1008,1
28,1008,0
28,1008,0
28,1008,1
30,1008,1
28,1009,1
29,1008,1
29,1008,1
28,1008,1
29,1007,1
28,1005,1
27,1005,0
28,1007,0
30,1008,1
30,1007,1
28,1007,1
28,1009,1
30,1009,0
31,1008,1
30,1007,0
30,1008,1
28,1008,0
29,1008,1
28,1008,1
29,1008,1
27,1008,0
29,1009,1
31,1008,0
32,1009,0
33,1009,0
31,1009,0
31,1009,1
30,1009,1
33,1009,0
32,1009,0
32,1009,0
31,1009,1
31,1010,1
31,1009,1
33,1009,0
31,1009,1
31,1009,1
30,1008,1
30,1007,1
28,1005,1
29,1005,1
28,1006,1
29,1008,1
29,1009,1
30,1010,1
28,1009,1
26,1009,1
29,1010,1
29,1010,1
29,1010,1
30,1010,1
29,1009,1
29,1008,0
30,1006,1
28,1007,1
29,1009,1
30,1008,0
28,1008,1
29,1008,1
27,1007,1
29,1007,1
30,1009,0
32,1009,1
31,1010,1
31,1010,0
32,1010,1
31,1010,1
32,1010,0
30,1010,1
32,1010,0
32,1011,1
32,1010,1
30,1008,1
31,1009,1
30,1010,1
31,1010,1
31,1008,1
30,1007,1
30,1009,1
32,1008,0
31,1008,1
31,1008,1
32,1009,1
30,1010,1
29,1011,1
31,1011,0
30,1012,1
31,1011,0
29,1010,1
28,1008,0
29,1009,1
29,1010,1
29,1010,1
29,1010,1
30,1011,1
30,1010,1
30,1009,1
31,1008,1
31,1008,1
32,1008,0
31,1009,1
31,1010,1
31,1010,0
31,1010,0
31,1009,0
28,1009,1
30,1009,1
30,1007,0
29,1007,0
31,1008,0
31,1010,1
31,1011,0
31,1011,1
29,1011,1
31,1010,1
31,1010,1
30,1011,1
30,1011,1
29,1011,1
26,1012,1
25,1013,0
25,1013,0
29,1012,0
30,1011,0
30,1010,0
30,1010,0
27,1012,0
29,1012,1
30,1012,0
31,1012,0
30,1012,0
30,1012,0
30,1011,0
32,1010,0
32,1011,0
32,1011,0
31,1011,0
30,1011,0
30,1013,0
30,1012,0
30,1011,0
31,1011,0
31,1011,0
32,1011,0
32,1011,0
29,1010,1
31,1010,0
31,1010,1
28,1009,1
29,1009,1
27,1009,1
27,1009,1
26,1009,1
29,1010,1
28,1011,0
26,1012,0
29,1011,0
30,1011,0
30,1011,0
31,1012,0
30,1013,0
29,1014,0
28,1014,0
28,1014,0
29,1016,0
29,1017,0
30,1017,0
30,1016,0
29,1015,0
30,1014,0
31,1013,0
31,1012,0
31,1011,0
32,1011,0
32,1010,0
30,1010,0
29,1012,1
31,1012,0
32,1012,0
32,1011,0
32,1011,0
32,1011,0
33,1011,0
32,1011,0
33,1012,0
32,1012,0
32,1011,0
32,1011,0
31,1011,0
33,1012,0
32,1011,0
33,1012,0
34,1011,0
32,1011,0
28,1010,1
29,1009,1
31,1008,0
32,1008,0
29,1009,0
32,1010,0
32,1010,0
32,1009,0
35,1009,0
34,1011,0
35,1009,0
35,1008,0
34,1009,0
35,1009,0
35,1009,0
35,1009,0
33,1009,1
28,1010,0
33,1009,0
35,1009,0
33,1009,0
35,1009,0
32,1010,0
32,1010,1
31,1011,0
32,1011,0
33,1012,0
35,1011,0
35,1010,0
34,1011,0
35,1012,0
33,1012,0
35,1011,0
34,1010,0
33,1010,1
34,1010,0
34,1009,0
35,1010,0
35,1010,0
34,1010,0
34,1011,0
35,1011,0
36,1011,0
35,1011,0
36,1011,0
35,1011,0
36,1010,0
36,1009,0
36,1009,1
34,1009,1
32,1009,1
34,1010,0
36,1010,0
34,1010,1
33,1009,1
32,1010,1
33,1009,1
33,1009,0
34,1009,1
33,1009,1
33,1009,0
31,1007,0
33,1008,0
33,1009,1
33,1008,1
34,1007,0
35,1008,0
33,1008,0
33,1006,1
33,1006,0
33,1007,0
33,1008,0
31,1008,1
31,1009,1
30,1010,1
31,1010,1
32,1010,0
31,1010,1
30,1009,1
30,1009,1
31,1009,1
28,1009,1
31,1008,0
29,1009,0
32,1008,0
31,1007,1
32,1007,1
30,1006,1
30,1007,1
30,1008,1
31,1008,0
32,1007,0
32,1007,0
32,1008,1
32,1009,1
32,1010,1
32,1009,0
32,1009,0
30,1008,1
32,1009,1
31,1008,1
30,1008,0
31,1006,1
28,1007,1
30,1007,1
30,1007,1
31,1008,1
30,1009,1
31,1009,1
33,1009,0
31,1008,1
29,1008,1
28,1008,1
29,1008,1
31,1008,0
31,1008,0
32,1008,0
33,1008,0
30,1009,1
30,1009,1
30,1009,1
34,1009,0
33,1009,0
33,1008,0
30,1006,1
29,1007,1
29,1008,1
30,1008,1
29,1008,1
31,1008,1
30,1008,1
30,1008,1
31,1008,1
32,1007,1
32,1007,1
31,1008,1
31,1008,1
30,1009,1
31,1009,1
32,1009,1
31,1010,1
32,1009,1
30,1008,1
30,1009,1
30,1010,1
32,1010,1
32,1009,0
31,1009,0
33,1008,1
32,1006,1
30,1004,1
30,1004,1
27,1006,0
29,1007,1
26,1007,1
28,1005,1
28,1006,1
28,1007,1
31,1008,1
29,1009,1
30,1009,1
27,1008,1
29,1008,1
29,1009,1
30,1009,1
30,1009,1
30,1008,1
29,1009,1
30,1010,1
29,1009,1
29,1007,0
28,1006,0
26,1006,1
28,1006,1
28,1006,1
31,1005,1
30,1005,1
30,1006,1
31,1005,0
31,1005,1
30,1006,1
30,1008,1
31,1008,1
31,1008,1
33,1010,0
33,1011,0
33,1010,1
33,1010,1
30,1011,1
32,1011,1
29,1010,1
32,1008,1
32,1008,1
30,1008,1
31,1009,1
32,1008,1
32,1007,1
