date,time,temperature_C,pressure_mb,humidity,wind_kph,description
2008-07-25,24,29,1006,90,7,Moderate or heavy rain shower
2008-07-26,24,30,1006,89,9,Moderate or heavy rain shower
2008-07-27,24,28,1008,92,10,Moderate or heavy rain shower
2008-07-28,24,28,1008,91,12,Moderate rain at times
2008-07-29,24,28,1008,91,10,Patchy rain possible
2008-07-30,24,28,1008,94,7,Moderate or heavy rain shower
2008-07-31,24,30,1008,89,8,Moderate or heavy rain shower
2008-08-01,24,28,1009,96,4,Moderate or heavy rain shower
2008-08-02,24,29,1008,92,5,Moderate or heavy rain shower
2008-08-03,24,29,1008,91,6,Moderate or heavy rain shower
2008-08-04,24,28,1008,94,7,Moderate or heavy rain shower
2008-08-05,24,29,1007,92,10,Moderate or heavy rain shower
2008-08-06,24,28,1005,94,13,Moderate or heavy rain shower
2008-08-07,24,27,1005,91,13,Moderate rain at times
2008-08-08,24,28,1007,91,10,Patchy rain possible
2008-08-09,24,30,1008,88,8,Moderate or heavy rain shower
2008-08-10,24,30,1007,90,9,Moderate or heavy rain shower
2008-08-11,24,28,1007,94,6,Moderate or heavy rain shower
2008-08-12,24,28,1009,93,7,Moderate or heavy rain shower
2008-08-13,24,30,1009,91,5,Heavy rain at times
2008-08-14,24,31,1008,90,5,Moderate or heavy rain shower
2008-08-15,24,30,1007,93,6,Moderate rain at times
2008-08-16,24,30,1008,91,8,Moderate or heavy rain shower
2008-08-17,24,28,1008,91,7,Moderate rain at times
2008-08-18,24,29,1008,93,7,Moderate or heavy rain shower
2008-08-19,24,28,1008,97,6,Moderate or heavy rain shower
2008-08-20,24,29,1008,93,6,Moderate or heavy rain shower
2008-08-21,24,27,1008,97,6,Heavy rain at times
2008-08-22,24,29,1009,93,7,Moderate or heavy rain shower
2008-08-23,24,31,1008,88,5,Moderate rain at times
2008-08-24,24,32,1009,87,4,Heavy rain at times
2008-08-25,24,33,1009,85,3,Moderate rain at times
2008-08-26,24,31,1009,86,5,Moderate rain at times
2008-08-27,24,31,1009,88,8,Moderate or heavy rain shower
2008-08-28,24,30,1009,91,7,Moderate or heavy rain shower
2008-08-29,24,33,1009,86,4,Heavy rain at times
2008-08-30,24,32,1009,85,4,Heavy rain at times
2008-08-31,24,32,1009,85,2,Patchy rain possible
2008-09-01,24,31,1009,87,6,Moderate or heavy rain shower
2008-09-02,24,31,1010,90,6,Moderate or heavy rain shower
2008-09-03,24,31,1009,90,4,Moderate or heavy rain shower
2008-09-04,24,33,1009,82,3,Heavy rain at times
2008-09-05,24,31,1009,88,4,Moderate or heavy rain shower
2008-09-06,24,31,1009,87,4,Moderate or heavy rain shower
2008-09-07,24,30,1008,89,4,Moderate or heavy rain shower
2008-09-08,24,30,1007,91,6,Moderate or heavy rain shower
2008-09-09,24,28,1005,95,7,Moderate or heavy rain shower
2008-09-10,24,29,1005,90,7,Moderate or heavy rain shower
2008-09-11,24,28,1006,94,9,Moderate or heavy rain shower
2008-09-12,24,29,1008,91,9,Moderate or heavy rain shower
2008-09-13,24,29,1009,89,7,Moderate or heavy rain shower
2008-09-14,24,30,1010,92,6,Moderate or heavy rain shower
2008-09-15,24,28,1009,97,6,Moderate or heavy rain shower
2008-09-16,24,26,1009,95,8,Moderate or heavy rain shower
2008-09-17,24,29,1010,95,8,Moderate or heavy rain shower
2008-09-18,24,29,1010,94,7,Moderate or heavy rain shower
2008-09-19,24,29,1010,93,6,Moderate or heavy rain shower
2008-09-20,24,30,1010,92,6,Moderate or heavy rain shower
2008-09-21,24,29,1009,89,7,Moderate or heavy rain shower
2008-09-22,24,29,1008,92,9,Heavy rain at times
2008-09-23,24,30,1006,91,9,Moderate or heavy rain shower
2008-09-24,24,28,1007,96,10,Moderate or heavy rain shower
2008-09-25,24,29,1009,92,12,Moderate or heavy rain shower
2008-09-26,24,30,1008,89,9,Overcast
2008-09-27,24,28,1008,95,7,Moderate or heavy rain shower
2008-09-28,24,29,1008,95,8,Moderate or heavy rain shower
2008-09-29,24,27,1007,97,8,Moderate or heavy rain shower
2008-09-30,24,29,1007,91,8,Moderate or heavy rain shower
2008-10-01,24,30,1009,89,4,Heavy rain at times
2008-10-02,24,32,1009,86,3,Moderate or heavy rain shower
2008-10-03,24,31,1010,90,4,Moderate or heavy rain shower
2008-10-04,24,31,1010,90,4,Heavy rain at times
2008-10-05,24,32,1010,87,4,Moderate or heavy rain shower
2008-10-06,24,31,1010,88,4,Moderate or heavy rain shower
2008-10-07,24,32,1010,87,3,Heavy rain at times
2008-10-08,24,30,1010,91,4,Moderate or heavy rain shower
2008-10-09,24,32,1010,87,5,Heavy rain at times
2008-10-10,24,32,1011,87,5,Moderate or heavy rain shower
2008-10-11,24,32,1010,87,5,Moderate or heavy rain shower
2008-10-12,24,30,1008,92,3,Moderate or heavy rain shower
2008-10-13,24,31,1009,90,4,Moderate or heavy rain shower
2008-10-14,24,30,1010,91,4,Moderate or heavy rain shower
2008-10-15,24,31,1010,90,5,Moderate or heavy rain shower
2008-10-16,24,31,1008,93,6,Moderate or heavy rain shower
2008-10-17,24,30,1007,94,6,Moderate or heavy rain shower
2008-10-18,24,30,1009,92,8,Moderate or heavy rain shower
